QKEY,INTERVIEW_START_W147,INTERVIEW_END_W147,DEVICE_TYPE_W147,LANG_W147,XPANEL_W147,XATPSAMPLE_W147,SATLIFE_MOD_a_W147,SATLIFE_MOD_b_W147,SATLIFE_MOD_c_W147,SATLIFE_MOD_d_W147,SATLIFE_MOD_f_W147,EVERPAR_W147,DOV_KP_ELIGIBLE_W147,HAVEKIDS1_W147,MARITALMOD_W147,COMMREL_W147,LWPREL_W147,SEEKING_W147,LIVARRANG_W147,LIVINGPAR_W147,SIBLIV_W147,FAMKIDS_W147,EMPLSIT_W147,IMPACTGOALS_a_W147,IMPACTGOALS_b_W147,IMPACTGOALS_c_W147,IMPACTGOALS_d_W147,IMPACTGOALS_e_W147,WORRY_FUTR_a_W147,WORRY_FUTR_b_W147,WORRY_FUTR_c_W147,WORRY_FUTR_d_W147,KIDSEVER_W147,RSNNOCHLD_S1_a_W147,RSNNOCHLD_S1_b_W147,RSNNOCHLD_S1_c_W147,RSNNOCHLD_S1_d_W147,RSNNOCHLD_S1_e_W147,RSNNOCHLD_S1_f_W147,RSNNOCHLD_S1_g_W147,RSNNOCHLD_S1_h_W147,RSNNOCHLD_S1_i_W147,RSNNOCHLD_S1_j_W147,RSNNOCHLD_S1_k_W147,RSNNOCHLD_S2_a_W147,RSNNOCHLD_S2_b_W147,RSNNOCHLD_S2_c_W147,RSNNOCHLD_S2_d_W147,RSNNOCHLD_S2_e_W147,RSNNOCHLD_S2_f_W147,RSNNOCHLD_S2_g_W147,RSNNOCHLD_S2_h_W147,RSNNOCHLD_S2_i_W147,RSNNOCHLD_S2_j_W147,IMPACTLIFE_a_W147,IMPACTLIFE_b_W147,IMPACTLIFE_c_W147,IMPACTLIFE_d_W147,IMPACTLIFE_e_W147,IMPACTLIFE_f_W147,WORKNOKID_a_W147,WORKNOKID_b_W147,WORKNOKID_c_W147,WORKNOKID_d_W147,WORKNOKID_e_W147,RELNOKID_a_W147,RELNOKID_b_W147,RELNOKID_c_W147,RELNOKID_d_W147,PRESNOKID_a_W147,PRESNOKID_b_W147,PRESNOKID_c_W147,PRESNOKID_d_W147,CAREPAR1_W147,CAREPAR2_a_W147,CAREPAR2_b_W147,CAREPAR2_c_W147,CAREPAR2_d_W147,CAREPAR2_e_W147,TALK_KIDS_a_W147,TALK_KIDS_b_W147,TALK_KIDS_c_W147,FRNDKIDS_W147,IMPCTDATE_W147,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W147_UNDER50,WEIGHT_W147_50PLUS
675179,2024-05-03T18:55:05Z,2024-05-03T18:59:05Z,2,1,2,1,4,1,1,6,1,2,,,1,,,,,2,1,2,5,1,1,1,2,3,3,5,3,5,2,3,3,3,3,3,3,3,1,3,1,3,,,,,,,,,,,1,1,2,1,2,4,,,,,,1,3,,3,5,5,5,3,,,,,,,,,,,,1,4,9,3,3,2,1,5,2,1,1,1,1,9,3,2,,2,4,1,9,5,2,1,3,,0.4189078725692776
676590,2024-05-09T02:35:21Z,2024-05-09T02:42:48Z,1,1,2,2,4,3,5,4,6,2,,3,5,2,,1,,1,,,2,1,3,1,2,2,,,,,,,,,,,,,,,,,3,1,1,3,2,1,2,3,3,2,1,1,2,3,1,3,1,1,1,2,1,,,,,,,,,,,,,,,,4,4,4,3,1,3,5,1,2,1,2,3,2,1,1,1,1,9,3,2,,2,4,1,1,4,1,2,1,1.5179371117884548,
677397,2024-05-03T18:58:37Z,2024-05-03T19:05:09Z,2,1,2,1,2,2,2,6,2,2,,,2,1,2,,1,2,2,2,5,1,1,1,2,1,4,4,4,5,2,3,2,1,1,2,2,1,2,1,1,3,,,,,,,,,,,2,1,1,2,3,3,,,,,,3,4,,3,5,3,2,3,,,,,,,,,,,,1,4,9,3,4,1,1,6,2,1,1,1,1,1,1,1,,1,1,1,7,2,2,2,2,,1.9206577587694853
677466,2024-05-03T19:47:28Z,2024-05-03T19:53:01Z,2,1,2,1,3,3,4,3,6,2,,,5,2,,,1,2,2,3,3,3,1,3,2,3,4,3,5,5,3,3,3,3,3,3,3,3,3,1,1,1,,,,,,,,,,,2,3,3,2,1,3,,,,,,,3,,3,5,4,3,2,,,,,,,,,,,,1,2,3,1,3,1,3,2,2,1,1,1,1,12,3,3,2,2,4,1,1,5,1,2,1,,1.0856328666860722
677559,2024-05-03T23:05:50Z,2024-05-03T23:11:59Z,2,1,2,1,3,4,3,3,6,2,,,5,2,,,3,2,1,2,1,1,3,3,3,3,5,2,5,5,2,3,1,1,3,2,2,3,1,1,1,3,,,,,,,,,,,1,1,6,1,1,6,2,2,2,2,2,,2,,2,5,5,5,5,,,,,,,,,,,,1,4,8,2,3,1,3,2,1,1,5,3,1,12,3,2,,2,4,1,2,5,2,2,1,,0.3216750994558576
677779,2024-05-07T11:31:22Z,2024-05-07T11:36:27Z,2,1,2,1,2,1,3,1,1,2,,,1,,,,,2,2,2,1,1,2,2,2,2,3,1,3,2,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,,99,99,99,99,99,,,,,,,,,,,,1,4,9,3,3,1,1,5,2,1,1,1,1,1,1,1,,1,1,1,9,2,1,2,3,,1.0967664595142588
678074,2024-05-09T11:11:09Z,2024-05-09T11:17:13Z,1,1,2,2,3,4,3,3,3,2,,4,5,1,1,,,1,,,1,3,3,3,2,3,,,,,,,,,,,,,,,,,3,3,3,3,1,1,3,3,1,1,2,2,1,2,1,4,1,1,1,2,1,,,,,,,,,,,,,,,5,5,5,2,,1,1,1,2,2,2,1,5,2,1,1,1,1,2,2,2,,2,3,1,9,3,2,1,3,0.6672260326548207,
681508,2024-05-06T11:28:07Z,2024-05-06T11:30:52Z,2,1,2,2,5,4,4,5,4,2,,4,1,,,,,1,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,3,3,3,2,1,3,2,2,3,3,1,4,4,2,1,1,1,1,1,1,,,,,,,,,,,,,,,4,4,1,4,,1,3,7,2,2,2,3,1,2,1,1,1,1,12,3,4,2,2,3,3,1,2,2,2,1,2.6111454987368328,
684598,2024-05-04T02:23:06Z,2024-05-04T02:34:35Z,2,1,2,2,4,2,4,5,6,2,,3,5,2,,1,,1,,,1,3,1,3,2,3,,,,,,,,,,,,,,,,,2,1,1,3,3,2,3,3,3,3,2,2,6,1,1,4,1,1,2,2,2,,,,,,,,,,,,,,,,4,4,2,4,1,4,9,3,2,2,2,3,2,1,4,4,1,1,1,4,2,2,4,1,2,5,2,2,1,1.791320536738762,
684707,2024-05-03T20:13:53Z,2024-05-03T20:36:47Z,2,1,2,1,4,5,3,3,6,2,,,5,2,,,1,2,2,2,1,3,3,3,3,3,2,3,2,4,1,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,3,2,3,4,2,4,1,1,2,2,1,,4,,4,6,3,5,4,,,,,,,,,,,,1,3,7,2,3,2,1,5,2,1,1,1,1,12,3,3,2,2,3,1,1,3,1,1,1,,0.30722464195169485
685156,2024-05-03T21:12:16Z,2024-05-03T21:19:15Z,2,1,2,2,4,5,4,3,2,2,,4,1,,,,,1,,,2,3,2,3,2,3,,,,,,,,,,,,,,,,,3,1,3,3,1,1,1,2,3,1,3,2,3,4,2,5,1,1,2,2,1,,,,,,,,,,,,,,,5,5,4,4,,1,4,8,2,2,2,1,5,2,1,1,1,1,9,3,2,,2,4,1,6,4,2,2,2,0.8677633707897996,
685422,2024-05-03T19:16:53Z,2024-05-03T19:22:29Z,2,1,2,1,2,3,3,3,2,2,,,1,,,,,2,1,2,1,1,3,1,2,3,3,3,3,4,3,1,3,2,3,2,2,3,2,3,3,1,,,,,,,,,,,2,2,2,3,3,4,2,2,2,2,1,3,3,,3,4,4,4,3,,,,,,,,,,,,1,3,5,2,3,2,1,6,2,1,1,1,1,1,1,2,,2,4,1,9,4,2,2,3,,2.7884199701691235
685831,2024-05-04T08:25:27Z,2024-05-04T08:28:37Z,1,1,2,2,2,2,2,2,5,2,,3,5,2,,3,,1,,,1,1,1,1,2,3,,,,,,,,,,,,,,,,,3,3,1,3,3,1,3,3,3,2,1,1,1,1,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,3,5,2,3,1,3,5,2,2,2,1,5,2,1,2,2,1,10,3,2,,2,4,1,7,5,1,2,2,0.6302235379986023,
685844,2024-05-03T19:34:14Z,2024-05-03T19:41:30Z,1,1,2,1,3,3,3,4,3,2,,,5,2,,,1,1,2,2,1,1,3,3,2,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,1,,,,,,,,,,,2,3,3,3,2,4,1,2,1,2,2,,3,3,2,4,3,3,3,3,,,,,,,,,,,1,1,2,2,3,1,1,5,2,1,1,1,1,2,2,1,,1,1,1,9,2,2,2,3,,1.330674523134634
686909,2024-05-03T00:01:31Z,2024-05-03T00:03:51Z,2,1,2,2,2,2,3,2,2,2,,4,5,1,1,,,1,,,1,3,3,3,3,3,,,,,,,,,,,,,,,,,3,3,3,1,3,3,2,3,1,1,1,1,1,2,1,3,2,2,1,1,2,,,,,,,,,,,,,,,5,4,5,4,,1,2,4,1,2,1,2,3,2,1,1,1,1,1,1,1,,1,1,1,9,2,2,1,3,0.729743130880274,
687177,2024-05-04T09:09:22Z,2024-05-04T09:17:19Z,1,1,2,2,5,5,5,4,6,2,,3,5,2,,4,,1,,,1,1,1,1,2,2,,,,,,,,,,,,,,,,,3,1,1,3,3,3,3,3,3,3,1,1,3,1,1,4,2,2,1,2,2,,,,,,,,,,,,,,,,5,5,5,,1,4,9,1,2,1,1,5,1,1,99,3,1,10,3,3,1,1,2,1,2,3,1,2,1,0.8208930977661146,
688489,2024-05-04T08:55:25Z,2024-05-04T09:03:03Z,2,1,2,1,1,5,5,6,6,2,,,5,2,,,3,2,3,3,5,2,1,3,2,2,1,1,1,1,3,3,3,1,3,3,2,3,3,1,2,1,,,,,,,,,,,1,1,1,7,1,3,,,,,,,2,,,5,4,4,3,,,,,,,,,,,,1,3,5,2,4,1,1,5,2,1,2,2,1,2,2,2,,2,4,1,2,4,,2,2,,1.141922691652265
689257,2024-05-03T18:54:42Z,2024-05-03T19:09:13Z,2,1,2,2,3,2,3,3,3,2,,4,1,,,,,1,,,1,1,3,3,2,3,,,,,,,,,,,,,,,,,3,3,3,3,3,2,3,3,2,1,2,2,2,3,2,4,1,1,2,2,1,,,,,,,,,,,,,,,5,5,3,4,,1,4,9,2,2,2,1,5,2,1,1,1,1,10,3,3,2,2,4,1,9,4,1,2,3,0.778201527950682,
689576,2024-04-29T19:06:42Z,2024-04-29T19:18:16Z,2,1,2,1,1,2,3,1,1,2,,,1,,,,,1,1,4,1,1,1,3,3,3,3,2,4,3,2,3,3,3,3,2,2,3,2,1,1,3,,,,,,,,,,,2,3,1,1,1,4,1,1,2,2,2,1,4,4,3,4,3,3,3,4,,,,,,,,,,,1,4,9,2,3,3,1,6,2,1,1,1,1,7,4,2,,2,4,1,9,5,1,2,3,,1.6947536926480489
690385,2024-05-03T19:10:20Z,2024-05-03T19:15:47Z,1,1,2,1,2,3,3,6,6,2,,,4,2,,,1,2,2,2,5,1,3,3,2,2,3,3,4,5,1,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,2,2,2,3,1,3,,,,,,,3,,3,5,3,5,5,,,,,,,,,,,,1,4,9,2,4,2,1,6,2,4,1,1,4,12,3,2,,2,3,1,8,3,2,1,3,,0.5092413410486679
690653,2024-05-04T09:03:15Z,2024-05-04T09:10:50Z,1,1,2,1,4,4,4,6,6,2,,,2,2,,,1,2,1,3,5,1,3,3,2,3,1,2,2,3,3,3,2,1,2,3,3,2,2,2,3,1,,,,,,,,,,,1,1,3,4,1,5,,,,,,,4,,5,5,2,5,2,,,,,,,,,,,,1,1,2,2,4,1,2,3,2,1,1,1,1,10,3,2,,2,4,1,2,4,2,2,2,,0.309190508258637
692221,2024-05-04T19:20:44Z,2024-05-04T19:28:16Z,2,1,2,1,2,2,2,2,6,2,,,4,2,,,1,2,1,1,2,3,3,3,3,3,3,4,4,4,99,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,,3,,3,5,4,4,3,,,,,,,,,,,,2,3,5,3,4,2,1,6,2,1,1,1,1,1,1,1,,1,1,1,5,1,2,1,2,,0.8543016211323012
692394,2024-05-04T17:54:12Z,2024-05-04T17:59:44Z,2,1,2,2,3,3,3,3,4,2,,3,1,,,,,1,,,1,1,1,1,2,2,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,5,3,4,4,,1,4,9,1,2,1,3,2,2,2,1,1,4,12,3,2,,2,3,3,4,3,2,2,1,4.940413419330003,
695017,2024-05-04T10:24:26Z,2024-05-04T10:30:09Z,2,1,2,2,2,2,2,2,2,2,,3,1,,,,,2,,,1,1,1,3,2,2,,,,,,,,,,,,,,,,,3,2,3,1,3,1,3,3,1,2,1,1,1,1,2,3,1,2,1,2,2,,,,,,,,,,,,,,,3,2,,2,,1,1,2,2,2,1,1,5,2,1,1,1,1,12,3,3,1,1,2,1,9,3,1,2,3,0.7528251565022506,
696037,2024-05-03T19:12:32Z,2024-05-03T19:18:11Z,2,1,2,1,2,3,4,6,6,2,,,5,2,,,1,2,2,2,5,1,3,3,2,3,3,3,2,5,2,3,3,3,3,3,3,3,3,1,1,3,,,,,,,,,,,2,3,1,3,3,4,,,,,,,3,,3,6,5,5,5,,,,,,,,,,,,1,3,6,2,4,1,1,5,2,1,1,1,1,2,2,1,,1,1,1,3,2,2,1,2,,0.27953671422566645
697868,2024-05-05T17:47:12Z,2024-05-05T17:55:12Z,2,1,2,1,3,3,2,3,1,2,,,1,,,,,1,1,3,2,1,1,1,2,3,3,3,4,5,2,3,2,2,3,2,1,3,2,2,1,2,,,,,,,,,,,1,2,1,2,2,3,2,1,2,2,2,2,3,3,3,5,3,2,2,1,2,3,3,2,2,,,,,,1,2,3,2,3,2,2,4,2,1,1,1,1,12,3,3,2,2,4,1,7,5,2,2,2,,1.278677785710475
698713,2024-05-06T17:13:02Z,2024-05-06T17:16:09Z,1,1,2,2,2,2,4,3,2,2,,4,1,,,,,1,,,1,1,1,1,2,3,,,,,,,,,,,,,,,,,3,1,3,3,1,1,3,3,2,3,1,2,2,2,2,4,2,1,1,1,2,,,,,,,,,,,,,,,3,3,4,3,,1,2,4,2,2,1,2,4,1,1,4,3,1,10,3,4,2,2,3,1,9,3,1,2,3,0.6767381717351691,
699479,2024-05-03T19:07:20Z,2024-05-03T19:15:47Z,2,1,2,1,1,1,2,6,1,2,,,1,,,,,2,2,3,5,3,3,3,3,3,4,4,3,4,2,3,3,3,3,3,3,3,2,1,2,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,3,5,3,4,4,,,,,,,,,,,,1,3,5,2,4,1,1,6,2,1,4,4,1,1,1,1,,1,1,1,7,2,5,1,2,,1.8056796615188477
702398,2024-05-07T02:24:50Z,2024-05-07T02:31:31Z,2,1,2,1,3,3,4,3,6,2,,,5,2,,,3,1,2,2,1,1,1,1,2,3,2,2,3,3,1,3,3,1,3,3,3,3,3,2,3,2,,,,,,,,,,,2,2,1,2,2,3,2,2,1,1,2,,3,3,3,6,4,4,4,3,,,,,,,,,,,1,4,9,2,3,1,2,4,1,1,1,3,1,2,2,2,,2,3,1,3,3,1,2,1,,0.3713105104075425
703590,2024-05-03T18:57:10Z,2024-05-03T19:04:05Z,2,1,2,1,1,2,2,1,2,2,,,1,,,,,1,1,2,2,3,3,3,2,3,3,4,4,4,2,1,2,3,3,3,3,1,2,1,1,2,,,,,,,,,,,1,1,2,3,1,3,2,2,2,2,2,3,3,3,3,5,3,4,4,1,3,3,1,2,3,,,,,,1,4,9,3,4,2,2,3,2,1,1,1,1,1,1,1,,1,1,1,5,1,2,2,2,,2.4190802822142623
704602,2024-05-07T10:14:31Z,2024-05-07T10:22:40Z,2,1,2,2,3,3,3,3,3,2,,3,1,,,,,1,,,1,1,1,1,3,3,,,,,,,,,,,,,,,,,2,3,3,2,3,3,3,1,1,1,2,2,1,2,1,7,2,1,1,2,2,,,,,,,,,,,,,,,4,3,4,3,,1,4,9,2,2,1,1,6,2,1,1,1,1,12,3,3,2,2,4,1,9,5,1,2,3,0.8732750847244726,
705647,2024-05-03T19:21:37Z,2024-05-03T19:27:21Z,2,1,2,2,3,4,5,3,6,2,,4,5,2,,3,,1,,,4,1,3,1,3,3,,,,,,,,,,,,,,,,,2,1,1,3,2,1,3,3,2,2,2,3,3,3,2,4,,,,,,,,,,,,,,,,,,,,,3,99,2,3,2,1,2,3,2,2,2,3,2,1,1,1,1,2,2,4,99,9,9,1,4,3,2,2,2,4.370757368050595,
706977,2024-05-03T21:48:17Z,2024-05-03T22:00:13Z,2,1,2,1,2,3,3,1,2,2,,,1,,,,,2,2,3,2,3,3,3,3,3,3,2,3,5,1,3,3,2,3,2,2,2,2,2,2,3,,,,,,,,,,,2,2,3,3,1,3,2,2,2,2,2,3,3,,3,5,3,5,3,,,,,,,,,,,,1,4,9,3,3,2,1,6,2,1,1,1,1,11,4,2,,2,4,1,9,4,1,1,2,,0.3303198706423938
707861,2024-05-03T21:08:44Z,2024-05-03T21:14:04Z,2,1,2,1,2,2,5,3,1,2,,,1,,,,,2,1,3,1,1,3,3,2,3,4,2,5,5,1,1,3,3,3,3,3,3,3,2,3,2,,,,,,,,,,,2,3,3,3,3,3,2,2,2,2,2,3,3,,3,5,5,5,5,,,,,,,,,,,,1,1,2,2,4,1,1,5,2,1,2,2,1,1,1,2,,2,4,1,5,4,2,2,2,,0.38026193184955287
709604,2024-05-04T11:45:37Z,2024-05-04T11:52:28Z,1,1,2,1,3,1,1,6,3,2,,,1,,,,,1,2,4,5,1,3,1,2,3,4,4,4,4,1,1,3,1,1,3,3,2,2,1,2,1,,,,,,,,,,,1,1,2,2,1,4,,,,,,3,4,4,3,4,4,4,3,1,1,1,1,3,1,,,,,,1,1,1,2,4,2,2,3,2,1,1,1,1,2,2,2,,2,3,1,9,3,3,2,3,,0.9141213933986766
710173,2024-05-04T15:09:07Z,2024-05-04T16:12:17Z,1,1,2,1,3,4,3,2,3,2,,,1,,,,,2,3,1,5,1,1,1,3,3,2,2,2,4,2,3,2,2,2,2,1,1,1,1,1,3,,,,,,,,,,,1,1,2,2,1,4,,,,,,3,4,,,5,4,4,3,,,,,,,,,,,,1,4,9,1,4,2,1,6,2,1,1,1,1,12,3,2,,2,4,1,5,5,2,2,2,,1.1313632860556913
713534,2024-05-02T21:11:42Z,2024-05-02T21:18:52Z,2,1,2,1,1,2,2,2,1,2,,,1,,,,,1,1,1,1,1,3,3,2,3,3,5,5,5,1,2,3,1,1,3,3,3,3,3,3,2,,,,,,,,,,,1,1,3,2,1,3,1,1,2,2,1,1,3,3,2,3,2,5,3,3,,,,,,,,,,,2,2,3,3,3,2,1,5,2,1,1,1,1,1,1,1,,1,1,1,9,2,2,2,3,,3.2124737798058294
714086,2024-05-04T09:40:06Z,2024-05-04T09:53:07Z,2,1,2,1,2,2,1,2,1,2,,,4,1,1,,,1,3,1,2,1,3,1,3,3,4,3,4,5,2,3,3,3,3,2,2,2,2,2,1,3,,,,,,,,,,,1,1,2,2,1,4,1,1,2,2,1,2,4,3,,5,1,4,1,,,,,,,,,,,,2,4,9,3,3,2,1,5,2,1,1,1,1,12,3,2,,2,4,1,9,5,1,1,3,,1.0335006656942782
715393,2024-05-04T10:56:19Z,2024-05-04T11:11:55Z,2,2,2,1,2,2,3,3,2,2,,,5,2,,,2,2,2,1,1,3,3,3,3,3,2,2,1,5,3,99,99,99,3,3,3,99,3,99,99,99,,,,,,,,,,,99,99,99,99,99,99,99,1,99,1,99,,99,,99,5,5,5,5,,,,,,,,,,,,1,4,9,3,4,2,99,99,1,4,5,3,4,1,1,2,,2,3,3,1,3,,2,1,,3.0409317338039914
715453,2024-05-05T06:31:11Z,2024-05-05T06:36:38Z,1,1,2,1,3,3,2,2,6,2,,,5,2,,,1,2,2,2,1,1,1,1,2,1,1,1,3,5,1,3,3,1,3,2,2,3,3,3,3,1,,,,,,,,,,,1,1,2,3,1,4,1,1,1,1,1,,3,,4,6,3,2,1,,,,,,,,,,,,1,3,5,2,3,2,1,5,2,1,1,1,1,1,1,2,,2,4,1,8,5,1,1,3,,0.2720301680305237
715655,2024-05-03T19:26:49Z,2024-05-03T19:30:53Z,2,1,2,2,3,3,4,3,6,2,,3,5,2,,3,,1,,,1,1,1,1,2,3,,,,,,,,,,,,,,,,,3,1,1,3,2,1,3,2,2,2,2,2,1,2,1,4,2,2,2,2,1,,,,,,,,,,,,,,,,4,3,3,4,1,1,2,1,2,1,2,3,1,1,4,3,1,2,2,2,,2,4,1,9,5,1,2,2,0.7835380292262804,
716589,2024-05-04T11:23:24Z,2024-05-04T11:36:23Z,1,1,2,1,3,3,4,3,6,2,,,5,2,,,1,2,2,3,1,1,2,3,3,3,4,3,3,4,1,3,2,1,3,3,3,3,3,2,3,1,,,,,,,,,,,2,2,7,4,2,4,1,1,2,2,1,,3,,3,6,4,5,4,,,,,,,,,,,,2,4,9,3,3,2,1,5,2,1,1,1,1,12,3,2,,2,3,1,8,3,2,2,3,,3.9337345929380603
718333,2024-05-04T10:43:03Z,2024-05-04T10:55:38Z,1,1,2,1,3,4,5,3,6,2,,,5,2,,,1,2,3,4,1,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,,1,,,5,4,5,5,,,,,,,,,,,,2,2,3,3,3,1,1,6,2,4,3,5,4,6,4,2,,2,3,1,1,3,2,2,1,,1.376506805783904
718594,2024-05-05T17:46:22Z,2024-05-05T17:55:23Z,2,1,2,1,3,5,2,2,6,2,,,2,2,,,3,1,2,2,2,3,3,3,2,3,2,2,2,2,3,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,2,7,2,7,7,7,2,2,2,2,2,,99,99,99,5,5,5,5,2,,,,,,,,,,,1,4,9,2,4,1,2,3,2,1,1,1,1,12,3,2,,2,4,1,3,5,2,2,1,,0.9176292459790296
720429,2024-05-04T19:29:49Z,2024-05-04T19:32:35Z,2,1,2,2,2,2,3,2,1,2,,4,1,,,,,1,,,1,1,1,1,2,1,,,,,,,,,,,,,,,,,3,2,3,1,1,1,2,3,1,2,2,1,2,2,1,4,2,2,1,2,1,,,,,,,,,,,,,,,3,2,3,2,,1,1,2,2,2,1,1,5,2,1,1,1,1,10,3,2,,2,4,1,9,4,1,2,3,0.6963019833467938,
720793,2024-05-04T07:04:48Z,2024-05-04T07:11:52Z,1,1,2,1,1,1,1,1,1,2,,,4,1,2,,1,2,2,2,2,3,3,3,3,3,3,3,3,5,2,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,1,1,1,1,5,2,2,1,2,1,1,3,,3,5,5,5,5,,,,,,,,,,,,1,4,9,3,4,2,1,5,2,1,1,1,1,12,3,2,,2,4,1,4,5,2,2,2,,2.384825995727848
723634,2024-05-08T13:56:19Z,2024-05-08T14:01:44Z,2,1,2,1,4,3,3,3,6,2,,,5,2,,,2,2,99,3,2,1,1,3,2,3,3,3,3,3,3,3,2,1,3,3,3,3,3,2,3,1,,,,,,,,,,,2,2,3,2,2,3,2,1,1,2,2,,3,,,5,3,4,4,,,,,,,,,,,,1,3,6,1,3,1,1,6,2,1,1,1,1,9,3,2,,2,4,1,3,4,2,2,2,,2.068810669333434
724338,2024-05-03T20:46:18Z,2024-05-03T20:50:30Z,2,1,2,2,3,3,3,3,6,2,,4,5,2,,4,,1,,,1,1,3,3,2,3,,,,,,,,,,,,,,,,,3,3,3,3,3,2,2,3,1,1,1,2,3,3,2,4,2,2,2,2,2,,,,,,,,,,,,,,,,4,4,1,,1,2,4,2,2,2,1,5,2,1,1,1,1,12,3,4,2,2,3,1,8,3,1,1,3,0.2537921045781577,
201501118902,2024-05-03T19:25:59Z,2024-05-03T19:37:12Z,2,1,2,2,3,4,3,3,3,2,,4,1,,,,,2,,,1,1,3,3,2,3,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,2,1,2,3,3,4,1,1,1,2,2,,,,,,,,,,,,,,,5,5,,3,,1,3,6,1,2,2,1,5,2,1,1,1,1,2,2,2,,2,3,1,9,3,1,1,3,0.21904889954350437,
201501118992,2024-05-03T22:23:52Z,2024-05-03T22:27:06Z,2,1,2,2,2,3,5,3,1,2,,4,5,1,2,,,1,,,2,1,3,1,3,1,,,,,,,,,,,,,,,,,3,3,3,3,2,1,1,1,2,1,1,1,3,2,1,6,1,1,1,2,2,,,,,,,,,,,,,,,5,3,3,4,,1,3,5,3,2,2,3,1,1,1,1,3,1,10,3,99,2,2,3,3,1,2,4,99,1,1.4216120646756685,
201501121312,2024-05-11T16:37:36Z,2024-05-11T16:47:59Z,1,1,2,1,1,2,1,6,1,2,,,1,,,,,2,2,2,4,3,3,3,3,3,4,4,4,5,2,3,2,3,3,3,3,3,3,1,1,1,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,3,5,5,5,5,,,,,,,,,,,,1,1,2,2,3,2,3,2,2,1,1,1,1,2,2,2,,2,4,1,3,4,2,2,2,,0.4211147994875437
201501121366,2024-05-04T11:37:39Z,2024-05-04T11:42:31Z,1,1,2,1,3,3,1,6,2,2,,,2,2,,,1,1,2,2,5,1,3,3,2,3,3,5,4,5,2,3,3,3,3,3,3,2,3,3,1,2,,,,,,,,,,,4,4,2,3,3,6,,,,,,,3,3,3,5,5,5,4,3,,,,,,,,,,,1,2,3,1,3,2,1,6,2,1,1,1,1,2,2,2,,2,4,1,1,4,3,1,1,,0.6605807600147309
201501127492,2024-05-03T19:15:15Z,2024-05-06T13:11:14Z,3,1,2,1,2,2,2,6,6,2,,,5,2,,,1,2,3,2,5,3,3,3,2,3,5,5,5,5,1,3,3,2,2,3,3,3,3,3,3,3,,,,,,,,,,,3,2,3,3,3,3,,,,,,,3,,,3,3,5,3,,,,,,,,,,,,1,2,4,2,4,1,3,2,2,1,1,1,1,1,1,2,,2,4,1,3,4,1,1,2,,0.22757596039551956
201501128639,2024-05-04T09:54:42Z,2024-05-04T10:02:48Z,2,1,2,1,3,3,2,1,2,2,,,5,1,1,,,1,1,4,1,3,3,1,2,3,4,4,5,4,2,1,3,3,3,3,3,3,3,1,1,3,,,,,,,,,,,2,2,3,3,3,4,1,1,1,2,2,3,3,4,2,5,3,5,5,3,,,,,,,,,,,1,1,2,2,3,2,1,5,2,1,1,1,1,2,2,2,,2,3,1,7,2,2,2,2,,1.7434288884847502
201501131385,2024-05-03T21:26:57Z,2024-05-03T21:31:59Z,1,1,2,1,2,2,3,6,1,2,,,1,,,,,2,2,2,5,1,2,1,2,2,3,2,3,1,1,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,99,99,99,99,99,99,,,,,,99,99,,99,99,99,99,99,,,,,,,,,,,,1,2,4,3,4,2,2,3,2,1,1,1,1,1,1,1,,1,1,1,99,2,2,2,99,,1.2259221383975605
